## Measurements of the probability distribution function of specific black hole accretion rates, p(log lambda_{sBHAR} | M_*,z),
## for All galaxies as a function of stellar mass and redshift.
## Taken from Aird et al. 2017b, MNRAS(in press), arXiv:1705.01132 (see Figure 2)
## Column description:
## z_lo, z_hi  - lower and upper limit of redshift bin
## mass_lo, mass_hi - lower and	upper limit of stellar mass bin	in log (Mstel/Msun)
## logl	- value	of log(specific black hole accretion rate) - see Equation 2 of Aird+17b
## p(median), p_lolim(90%CL), p_uplim(90%CL) - estimates of p(log lambda) (per unit dex), giving the median and 90% upper and lower
##                                             central confidence limits based on posterior distribution.
## flag	- 1 indicates reliable	measurement, 0 indicates potential for significant contamination by star formation thus unreliable.
##
#     z_lo      z_hi   mass_lo   mass_hi      logl      p(median)       p_lolim(90%CL)   p_uplim(90%CL)      flag
      0.10      0.50      8.50      9.00      0.04       2.60E-04       8.67E-05       6.55E-04   1
      0.10      0.50      8.50      9.00      0.12       1.96E-04       6.00E-05       5.31E-04   1
      0.10      0.50      8.50      9.00      0.20       1.50E-04       4.16E-05       4.36E-04   1
      0.10      0.50      8.50      9.00      0.28       1.15E-04       3.05E-05       3.64E-04   1
      0.10      0.50      8.50      9.00      0.36       8.96E-05       2.29E-05       3.07E-04   1
      0.10      0.50      8.50      9.00      0.44       7.23E-05       1.70E-05       2.66E-04   1
      0.10      0.50      8.50      9.00      0.52       6.00E-05       1.28E-05       2.34E-04   1
      0.10      0.50      8.50      9.00      0.60       5.03E-05       9.88E-06       2.11E-04   1
      0.10      0.50      8.50      9.00      0.68       4.22E-05       7.80E-06       1.91E-04   1
      0.10      0.50      8.50      9.00      0.76       3.55E-05       6.16E-06       1.77E-04   1
      0.10      0.50      8.50      9.00      0.84       3.09E-05       4.92E-06       1.62E-04   1
      0.10      0.50      8.50      9.00      0.92       2.68E-05       4.11E-06       1.45E-04   1
      0.10      0.50      8.50      9.00      1.00       2.37E-05       3.43E-06       1.38E-04   1
      0.10      0.50      8.50      9.00      1.08       2.14E-05       2.81E-06       1.27E-04   1
      0.10      0.50      8.50      9.00      1.16       1.94E-05       2.35E-06       1.22E-04   1
      0.10      0.50      8.50      9.00      1.24       1.81E-05       2.02E-06       1.15E-04   1
      0.10      0.50      8.50      9.00      1.32       1.67E-05       1.79E-06       1.07E-04   1
      0.10      0.50      8.50      9.00      1.40       1.53E-05       1.53E-06       1.02E-04   1
      0.10      0.50      8.50      9.00      1.48       1.42E-05       1.40E-06       9.85E-05   1
      0.10      0.50      8.50      9.00      1.56       1.30E-05       1.22E-06       9.61E-05   1
      0.10      0.50      8.50      9.00      1.64       1.22E-05       1.06E-06       9.15E-05   1
      0.10      0.50      8.50      9.00      1.72       1.13E-05       9.29E-07       9.10E-05   1
      0.10      0.50      8.50      9.00      1.80       1.06E-05       8.81E-07       9.14E-05   1
      0.10      0.50      8.50      9.00      1.88       1.01E-05       7.80E-07       9.05E-05   1
      0.10      0.50      8.50      9.00      1.96       9.38E-06       7.30E-07       9.03E-05   1
      0.10      0.50      8.50      9.00      2.04       8.83E-06       6.52E-07       8.86E-05   1
      0.10      0.50      8.50      9.00      2.12       8.12E-06       5.74E-07       9.06E-05   1
      0.10      0.50      8.50      9.00      2.20       7.46E-06       4.95E-07       8.82E-05   1
      0.10      0.50      8.50      9.00      2.28       6.68E-06       4.12E-07       8.00E-05   1
      0.10      0.50      8.50      9.00      2.36       5.92E-06       3.38E-07       7.56E-05   1
      0.10      0.50      8.50      9.00      2.44       4.89E-06       2.64E-07       6.94E-05   1
      0.10      0.50      8.50      9.00      2.52       3.92E-06       1.95E-07       6.01E-05   1
      0.10      0.50      8.50      9.00      2.60       2.86E-06       1.38E-07       4.68E-05   1
      0.10      0.50      8.50      9.00      2.68       1.88E-06       8.53E-08       3.24E-05   1
      0.10      0.50      8.50      9.00      2.76       1.11E-06       4.96E-08       1.96E-05   1
      0.10      0.50      8.50      9.00      2.84       5.59E-07       2.41E-08       1.03E-05   1
      0.10      0.50      8.50      9.00      2.92       2.28E-07       9.72E-09       4.25E-06   1
      1.00      1.50      9.00      9.50     -5.00       2.60E-02       5.38E-04       1.59E-01   0
      1.00      1.50      9.00      9.50     -4.92       3.78E-02       7.87E-04       2.32E-01   0
      1.00      1.50      9.00      9.50     -4.84       5.44E-02       1.12E-03       3.25E-01   0
      1.00      1.50      9.00      9.50     -4.76       7.49E-02       1.58E-03       4.36E-01   0
      1.00      1.50      9.00      9.50     -4.68       9.73E-02       2.21E-03       5.53E-01   0
      1.00      1.50      9.00      9.50     -4.60       1.22E-01       2.98E-03       6.64E-01   0
      1.00      1.50      9.00      9.50     -4.52       1.45E-01       3.62E-03       7.57E-01   0
      1.00      1.50      9.00      9.50     -4.44       1.66E-01       4.34E-03       8.13E-01   0
      1.00      1.50      9.00      9.50     -4.36       1.76E-01       4.98E-03       8.18E-01   0
      1.00      1.50      9.00      9.50     -4.28       1.77E-01       5.70E-03       7.70E-01   0
      1.00      1.50      9.00      9.50     -4.20       1.73E-01       6.22E-03       6.99E-01   0
      1.00      1.50      9.00      9.50     -4.12       1.56E-01       6.15E-03       6.34E-01   0
      1.00      1.50      9.00      9.50     -4.04       1.38E-01       5.76E-03       5.64E-01   0
      1.00      1.50      9.00      9.50     -3.96       1.19E-01       5.14E-03       4.92E-01   0
      1.00      1.50      9.00      9.50     -3.88       1.02E-01       4.71E-03       4.50E-01   0
      1.00      1.50      9.00      9.50     -3.80       8.88E-02       4.57E-03       4.19E-01   0
      1.00      1.50      9.00      9.50     -3.72       7.56E-02       4.31E-03       3.79E-01   0
      1.00      1.50      9.00      9.50     -3.64       6.37E-02       3.98E-03       3.40E-01   0
      1.00      1.50      9.00      9.50     -3.56       5.31E-02       3.50E-03       3.04E-01   0
      1.00      1.50      9.00      9.50     -3.48       4.51E-02       3.02E-03       2.69E-01   0
      1.00      1.50      9.00      9.50     -3.40       3.84E-02       2.63E-03       2.40E-01   0
      1.00      1.50      9.00      9.50     -3.32       3.24E-02       2.11E-03       2.10E-01   0
      1.00      1.50      9.00      9.50     -3.24       2.64E-02       1.82E-03       1.85E-01   0
      1.00      1.50      9.00      9.50     -3.16       2.24E-02       1.54E-03       1.55E-01   0
      1.00      1.50      9.00      9.50     -3.08       1.86E-02       1.39E-03       1.29E-01   0
      1.00      1.50      9.00      9.50     -3.00       1.56E-02       1.22E-03       1.09E-01   0
      1.00      1.50      9.00      9.50     -2.92       1.32E-02       1.03E-03       8.95E-02   0
      1.00      1.50      9.00      9.50     -2.84       1.09E-02       8.59E-04       7.99E-02   0
      1.00      1.50      9.00      9.50     -2.76       9.14E-03       7.61E-04       6.80E-02   0
      1.00      1.50      9.00      9.50     -2.68       7.58E-03       6.36E-04       5.82E-02   0
      1.00      1.50      9.00      9.50     -2.60       6.51E-03       5.07E-04       5.07E-02   0
      1.00      1.50      9.00      9.50     -2.52       5.49E-03       4.22E-04       4.46E-02   0
      1.00      1.50      9.00      9.50     -2.44       4.69E-03       3.57E-04       3.84E-02   0
      1.00      1.50      9.00      9.50     -2.36       4.01E-03       3.01E-04       3.16E-02   1
      1.00      1.50      9.00      9.50     -2.28       3.61E-03       2.65E-04       2.62E-02   1
      1.00      1.50      9.00      9.50     -2.20       3.08E-03       2.32E-04       2.24E-02   1
      1.00      1.50      9.00      9.50     -2.12       2.60E-03       2.08E-04       1.95E-02   1
      1.00      1.50      9.00      9.50     -2.04       2.22E-03       1.84E-04       1.67E-02   1
      1.00      1.50      9.00      9.50     -1.96       1.94E-03       1.63E-04       1.40E-02   1
      1.00      1.50      9.00      9.50     -1.88       1.72E-03       1.48E-04       1.22E-02   1
      1.00      1.50      9.00      9.50     -1.80       1.51E-03       1.38E-04       1.03E-02   1
      1.00      1.50      9.00      9.50     -1.72       1.31E-03       1.22E-04       9.19E-03   1
      1.00      1.50      9.00      9.50     -1.64       1.16E-03       1.14E-04       7.48E-03   1
      1.00      1.50      9.00      9.50     -1.56       1.03E-03       9.53E-05       6.29E-03   1
      1.00      1.50      9.00      9.50     -1.48       8.89E-04       8.53E-05       5.08E-03   1
      1.00      1.50      9.00      9.50     -1.40       7.74E-04       7.94E-05       4.36E-03   1
      1.00      1.50      9.00      9.50     -1.32       6.95E-04       7.31E-05       3.71E-03   1
      1.00      1.50      9.00      9.50     -1.24       6.22E-04       6.35E-05       3.33E-03   1
      1.00      1.50      9.00      9.50     -1.16       5.59E-04       6.21E-05       2.97E-03   1
      1.00      1.50      9.00      9.50     -1.08       5.04E-04       5.85E-05       2.62E-03   1
      1.00      1.50      9.00      9.50     -1.00       4.58E-04       5.63E-05       2.26E-03   1
      1.00      1.50      9.00      9.50     -0.92       4.14E-04       5.56E-05       1.97E-03   1
      1.00      1.50      9.00      9.50     -0.84       3.78E-04       5.16E-05       1.79E-03   1
      1.00      1.50      9.00      9.50     -0.76       3.48E-04       5.13E-05       1.65E-03   1
      1.00      1.50      9.00      9.50     -0.68       3.19E-04       4.92E-05       1.54E-03   1
      1.00      1.50      9.00      9.50     -0.60       3.12E-04       4.95E-05       1.39E-03   1
      1.00      1.50      9.00      9.50     -0.52       3.04E-04       5.14E-05       1.32E-03   1
      1.00      1.50      9.00      9.50     -0.44       2.96E-04       5.24E-05       1.22E-03   1
      1.00      1.50      9.00      9.50     -0.36       2.92E-04       5.62E-05       1.16E-03   1
      1.00      1.50      9.00      9.50     -0.28       2.94E-04       5.68E-05       1.10E-03   1
      1.00      1.50      9.00      9.50     -0.20       2.92E-04       5.67E-05       1.06E-03   1
      1.00      1.50      9.00      9.50     -0.12       2.97E-04       5.89E-05       1.03E-03   1
      1.00      1.50      9.00      9.50     -0.04       3.01E-04       5.90E-05       1.01E-03   1
      1.00      1.50      9.00      9.50      0.04       3.02E-04       6.01E-05       1.00E-03   1
      1.00      1.50      9.00      9.50      0.12       2.99E-04       5.90E-05       9.89E-04   1
      1.00      1.50      9.00      9.50      0.20       2.98E-04       5.85E-05       9.97E-04   1
      1.00      1.50      9.00      9.50      0.28       2.92E-04       5.70E-05       9.60E-04   1
      1.00      1.50      9.00      9.50      0.36       2.86E-04       5.23E-05       9.30E-04   1
      1.00      1.50      9.00      9.50      0.44       2.77E-04       4.98E-05       9.16E-04   1
      1.00      1.50      9.00      9.50      0.52       2.67E-04       4.80E-05       9.31E-04   1
      1.00      1.50      9.00      9.50      0.60       2.61E-04       4.43E-05       9.28E-04   1
      1.00      1.50      9.00      9.50      0.68       2.51E-04       4.14E-05       9.14E-04   1
      1.00      1.50      9.00      9.50      0.76       2.39E-04       4.00E-05       8.77E-04   1
      1.00      1.50      9.00      9.50      0.84       2.28E-04       3.96E-05       8.65E-04   1
      1.00      1.50      9.00      9.50      0.92       2.19E-04       3.68E-05       8.26E-04   1
      1.00      1.50      9.00      9.50      1.00       2.04E-04       3.49E-05       7.55E-04   1
